1,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,City,,,Country,,,
437,40.6651153,16.6032909,Affittacamere,AFFARE FATTO  SRLS,ANDRISANI FRANCESCO SAVERIO,LARGO PASSARELLI 9,Matera,71,350,Italy,7,13,42590
438,40.6657213,16.6096428,Affittacamere,AFFITTACAMERE CLAUDIA SCARCIOLLA,CLAUDIA SCARCIOLLA,RECINTO DEL SEDILE 7,Matera,159,3146,Italy,12,7,42607
439,40.660749,16.6117251,Affittacamere,AFFITTACAMERE VISTA SUI SASSI,GRAZIANO ANNUNZIATA,VIA LUCANA 229,Matera,159,3428,Italy,,8,42722
441,40.6669103,16.6109091,Affittacamere,ALL'ANNUNZIATA VECCHIA,BIANCHI SALVATORE,Recinto Annunziata Vecchia 13,Matera,159,1123,Italy,1,9,41264
442,40.6669499,16.6101862,Affittacamere,ALLE CONCHE,TINA RONDINONE,via sette dolori 24-25,Matera,159,885,Italy,2,9,42149
443,40.663345,16.611591,Affittacamere,HOTEL LE MALVE SRL,GIANVITO PLASMATI,VIA B. BUOZZI 102,Matera,159,2186,Italy,4,13,43112
444,40.6759633,16.5975854,Affittacamere,ANTICA MATEOLA,LORE' snc,VIA SALVEMINI 24,Matera,159,4661,Italy,11,10,42492
445,40.666379,16.6043199,Affittacamere,CANARIO SOGGIORNI CON STILE,CENTRO ARREDI F.LLI CANARIO DI PIERANGELO CANARIO,VIA EMILIO SALGARI 7,Matera,71,1162,Italy,17,11,42549
446,40.6644815,16.6094969,Affittacamere,CASA DIVA,CASA DIVA SRL,VIA GIUMELLA 3,Matera,159,1814,Italy,18,17,42956
447,40.6703411,16.60785992,Affittacamere,CASA NATALI',ROBERTA SCHIUMA,VIA PENTASIGLIA 21-23,Matera,159,3601,Italy,5,10,41324
448,40.6585674,16.6158552,Affittacamere,CASA STELLA,SANTERAMO F.PAOLO,VIA CASALNUOVO 257,Matera,159,4085,Italy,1,10,41226
450,40.6717055,16.6084209,Affittacamere,CASABLANCA MATERA SAS DI CIMMINO AMERIGA &C.,CASABLANCA MATERA SAS DI CIMINO AMERIGA & C.,VIA SANTO STEFANO 55,Matera,159,2897,Italy,8,11,42550
451,40.6475086,16.6283385,Affittacamere,CASALE BELVEDERE,CINZIA SCARCIOLLA,CONTRADA AGNA LE PIANE,Matera,114,861,Italy,10,6,42579
452,40.6670639,16.6051056,Affittacamere,CIVICO 28 CASA ALBERGO,CIVICO 28 CASA ALBERGO,VIA XXSETTEMBRE 28 2°PIANO,Matera,159,2900,Italy,39,8,42541
453,40.66179381,16.61155611,Affittacamere,CORTE SAN LEONARDO,BARBARA FONTANESI,VICO SAN LEONARDO,Matera,159,2311,Italy,5,4,42544
455,40.661368,16.6115481,Affittacamere,DIMORA MARGHERITA,MARRAUDINO MARGHERITA,VIA CASALNUOVO 80,Matera,159,3760,Italy,9,6,42591
456,40.6608715,16.6114403,Affittacamere,DIMORE LUCANE,DIMORE LE LUCANE SRLS,VIA LUCANA 223,Matera,159,3531,Italy,6,15,42420
457,40.6671309,16.6031838,Affittacamere,DOMUS ROMA,ITALET SAS- DI LUCARELLA GIOVANNA,VIA ROMA 57,Matera,,,Italy,,7,42354
458,40.6641573,16.6081256,Affittacamere,DONNA ELEONORA,DILECCE ANGELA SILVIA,P.TTA E. BRACCO,Matera,159,3958,Italy,4,7,41394
459,40.6638349,16.5973075,Affittacamere,DONNA ELEONORA,DI LECCE ANGELA SILVIA,VIA TIMMARI 1,Matera,71,1804,Italy,40,7,42374
460,40.6716856,16.6073451,Affittacamere,GATTINI 33,LORENZO LIUZZI,VIA GATTINI 33,Matera,159,3687,Italy,9,6,43502
461,40.669989,16.60884,Affittacamere,GIULIETTA NEI SASSI,D'ERCOLE MARILISA,VIA SANTA CESAREA 43,Matera,159,3581,Italy,17,7,42101
462,40.664933,16.610416,Affittacamere,GRADELLE PENNINO,GIUSEPPE BARBARO,VIA PENNINO 3,Matera,159,1490,Italy,1,8,42542
